RUN #,PEAKS AVG (m),STATUS - PEAKS AVG,ABS AVG (m),STATUS ABS AVG
run 1,0.04033333333333333,Pass,0.019000000000000003,Pass
run 2,0.07333333333333333,Fail,0.020666666666666667,Pass
run 3,0.08733333333333333,Fail,0.031,Fail
run 4,0.083,Fail,0.028333333333333332,Fail
run 5,0.13899999999999998,Fail,0.04133333333333333,Fail
